"user_id","product_id","rating"
17339592,215601923,3.5
17339592,170808779,4
17339592,164310669,3.4
17339592,54073357,1
17339592,170808746,1.7
16435494,86988226,2
16435494,275225044,3
14561714,176250783,4.7
14561714,275225057,1
27002170,275225074,3
27002170,68027471,4
27002170,184920345,2
27002170,171020249,5
7234078,94808227,3
7234078,132107482,2.5
7234078,275225026,2.6
7234078,111972654,2
7234078,50713741,3
12651861,275175461,3
12651861,69984571,3.2
12651861,212321323,1
12651861,45480982,5
18655026,275225048,2.8
18655026,229972422,2.6
899162,185209207,2.5
899162,164251651,2.5
899162,13306746,2
8316515,275225076,4
8316515,275225053,3.2
8316515,167937610,3.2
20759316,275225073,5
20759316,275175461,3
20759316,7360209,2.5
20759316,275225026,2.6
9045258,212469874,2.4
9045258,274585245,2.4
9045258,26081106,2.5
7947923,121649229,2.8
7947923,171020189,3
7947923,275225042,2.3
7947923,51477300,3
7947923,19364741,2.2
19774514,54158651,3
19774514,172474870,1.5
19774514,177637414,4
19774514,94808227,3
19774514,140107331,1
16938194,73744766,4.7
12567447,107709913,5
12567447,136020884,4
12567447,214887627,1
16378845,22835214,3.2
16378845,22774705,2.2
16378845,258379041,2
16378845,38080465,2.2
16378845,275225064,3.4
26939082,4399961,5
26939082,165176786,3
26939082,275225085,1
26939082,203145770,2
16767409,108761942,3
16767409,275002754,4.2
16767409,176251118,4.6
16767409,172908253,3
19823877,275225056,1
19823877,164550314,3.4
19823877,103076103,3.5
19823877,275225079,1
19823877,13306746,2
12068060,75420641,4
2133674,115269475,2.2
2133674,76438775,3.8
2133674,172908253,3
2133674,205713374,3
23471969,275225031,2.4
12256805,117030549,3.2
12256805,84564566,4
12256805,275225037,3.5
12256805,275225068,2.6
23017130,109840857,3
23017130,120427174,2.6
23017130,7174993,3.7
9163271,49268992,3
9163271,69500507,2.8
9163271,46148092,3.2
18220530,51488651,3.6
18220530,108761942,3
19281572,110709509,1
19281572,107369821,5
19281572,108763472,3
19281572,44579670,3.2
19281572,203768388,4.2
20811434,69981984,3.5
20811434,22835216,2.5
20811434,196471149,5
14602656,69990262,3.8
14602656,134025507,5
14602656,75422804,2
28565550,134021859,4
28565550,205486844,2
28565550,73570874,3
12437175,275225033,3.2
12437175,251773296,3
12437175,14351068,3.2
12437175,51488651,3.6
12437175,275225073,5
11229095,172908253,3
11229095,165176788,4.2
11229095,71905085,2
11229095,121099059,3.4
11229095,172910320,3.4
26313161,68219838,3
26313161,7958836,2.2
1107086,184051552,3
1107086,178779254,3
26251924,171922750,3.2
26251924,164547509,2.5
19011760,214857049,1
19011760,102086317,4.5
19011760,22774705,2.2
19011760,6927817,2
21818730,22492292,3.2
21818730,52109918,3.8
21818730,184051552,3
21818730,7958775,4.3
12745092,161208247,2.8
12745092,143275087,3.2
12745092,157530335,3.5
12745092,107411611,3
16424797,35168128,3
16424797,20680707,3
11175461,179523295,3.2
11175461,273744625,3.2
11175461,273298860,2.8
22565029,172915867,4
22565029,8448446,2.2
22565029,164313025,2.6
22565029,44579670,3.2
14437888,44112983,4.4
14437888,196471149,5
14437888,140107331,1
14437888,136383612,2.5
14437888,164221914,3
1662127,165176786,3
1662127,275225056,1
15784357,208255020,2.5
15784357,180298587,3.8
15784357,81506669,2.8
15784357,76205485,3
18655026,172445606,3
18655026,77075739,3.4
18655026,196174372,3.6
18655026,46148092,3.2
15650776,207366690,3.2
15650776,159382275,4.4
15650776,45480982,5
15650776,164550568,4
24513370,120427448,2.2
24513370,140174663,3.8
13036328,158790337,3
13036328,110709509,1
13036328,39088060,1
13036328,8448374,3
7270727,44112983,4.4
7270727,178779717,4
19778904,58425578,1
19778904,72641169,1
19778904,22774390,3.3
19778904,102800015,4.3
19778904,275002754,4.2
12560586,83158705,2.8
12560586,46148092,3.2
12560586,205712436,5
12560586,178779254,3
10297172,47406493,1
10297172,108763287,3
12740088,205459325,4
12740088,110308041,2.4
12740088,171020215,1
12740088,110700063,3.7
21326403,8448586,3.2
21326403,8448556,3.5
27026604,159382275,4.4
26667898,52109918,3.8
26667898,13670345,3.3
26667898,136383612,2.5
26667898,50713741,3
83709,164313025,2.6
83709,134025373,2
83709,72287083,2.7
83709,13670345,3.3
83709,52417141,5
5457362,208255020,2.5
5457362,19364741,2.2
18723514,115275991,3
18723514,121649229,2.8
18723514,46640788,5
18723514,90483814,2.8
18723514,21972366,4
18403695,207765359,4.8
18403695,172908253,3
18403695,251773296,3
18403695,172325522,2
27081140,275225032,2
27081140,205713374,3
27081140,29115771,4.3
27081140,73744766,4.7
21949446,121099621,3.8
13430814,214887627,1
13430814,22835216,2.5
13430814,212317639,4
13430814,117081799,2
13430814,100179757,5
20811932,121645707,3
20811932,121099621,3.8
20811932,196471149,5
437275,58221635,2
16667337,110709509,1
16667337,46640788,5
16667337,274587776,3
16667337,54073357,1
16667337,55424951,4
28565550,275225074,3
28565550,274588052,4
28565550,275225026,2.6
